"Области","ПТП, бр., 2021 г.","Загинали, бр., 2021 г.","Ранени, бр., 2021 г.","ПТП, бр., 2020 г.","Загинали, бр., 2020 г.","Ранени, бр., 2020 г.","Разлика ПТП, бр.","Разлика ПТП, %","Разлика загинали, бр.","Разлика загинали, %","Разлика ранени, бр.","Разлика ранени, %"
"БЛАГОЕВГРАД","274","14","390","249","15","320","25","10.04","-1","-6.67","70","21.88"
"БУРГАС","396","28","538","367","26","432","29","7.9","2","7.69","106","24.54"
"ВАРНА","550","22","686","569","29","702","-19","-3.34","-7","-24.14","-16","-2.28"
"ВЕЛИКО ТЪРНОВО","218","30","265","218","14","281","0","0","16","114.29","-16","-5.69"
"ВИДИН","71","6","86","95","14","124","-24","-25.26","-8","-57.14","-38","-30.65"
"ВРАЦА","183","23","248","155","14","209","28","18.06","9","64.29","39","18.66"
"ГАБРОВО","71","7","73","107","9","123","-36","-33.64","-2","-22.22","-50","-40.65"
"ДОБРИЧ","123","13","158","107","18","134","16","14.95","-5","-27.78","24","17.91"
"КЪРДЖАЛИ","129","4","161","99","6","128","30","30.3","-2","-33.33","33","25.78"
"КЮСТЕНДИЛ","91","3","115","74","7","82","17","22.97","-4","-57.14","33","40.24"
"ЛОВЕЧ","205","29","280","161","17","235","44","27.33","12","70.59","45","19.15"
"МОНТАНА","161","15","207","133","13","178","28","21.05","2","15.38","29","16.29"
"ПАЗАРДЖИК","210","25","258","215","16","282","-5","-2.33","9","56.25","-24","-8.51"
"ПЕРНИК","62","54","72","55","3","62","7","12.73","51","1700","10","16.13"
"ПЛЕВЕН","226","23","276","208","13","254","18","8.65","10","76.92","22","8.66"
"ПЛОВДИВ","731","34","934","701","38","881","30","4.28","-4","-10.53","53","6.02"
"РАЗГРАД","106","10","134","112","14","129","-6","-5.36","-4","-28.57","5","3.88"
"РУСЕ","300","23","372","285","14","369","15","5.26","9","64.29","3","0.81"
"СИЛИСТРА","98","9","130","76","12","94","22","28.95","-3","-25","36","38.3"
"СЛИВЕН","137","13","169","91","23","108","46","50.55","-10","-43.48","61","56.48"
"СМОЛЯН","78","2","101","82","4","116","-4","-4.88","-2","-50","-15","-12.93"
"СОФИЙСКА","155","34","153","149","34","178","6","4.03","0","0","-25","-14.04"
"СОФИЯ","649","52","741","622","35","747","27","4.34","17","48.57","-6","-0.8"
"СТАРА ЗАГОРА","358","27","453","304","31","355","54","17.76","-4","-12.9","98","27.61"
"ТЪРГОВИЩЕ","44","8","54","56","10","58","-12","-21.43","-2","-20","-4","-6.9"
"ХАСКОВО","260","21","326","257","14","344","3","1.17","7","50","-18","-5.23"
"ШУМЕН","147","18","177","116","10","135","31","26.72","8","80","42","31.11"
"ЯМБОЛ","47","14","52","47","10","61","0","0","4","40","-9","-14.75"
"Общо","6080","561","7609","5710","463","7121","370","","98","","488",""
