"Области","Загинали - януари","Ранени - януари","Загинали - февруари","Ранени  - февруари","Загинали - март","Ранени - март","Загинали - април","Ранени - април","Загинали - май","Ранени - май","Загинали - юни","Ранени - юни","Загинали - юли","Ранени - юли","Загинали - август","Ранени -  август","Загинали -  септември","Ранени -  септември","Загинали -  октомври","Ранени -  октомври","Загинали -  ноември","Ранени -  ноември","Загинали -  декември","Ранени -  декември","Загинали - общо","Ранени - общо"
"БЛАГОЕВГРАД","0","23","0","24","0","14","1","19","3","36","0","24","2","53","4","48","2","38","1","55","0","18","1","38","14","390"
"БУРГАС","2","29","1","9","0","15","2","41","4","37","2","37","4","96","2","84","4","48","3","62","3","45","1","35","28","538"
"ВАРНА","1","43","1","28","0","44","1","33","0","69","2","61","3","63","3","87","4","88","3","67","1","50","3","53","22","686"
"ВЕЛИКО ТЪРНОВО","3","10","0","16","4","19","2","29","5","13","2","19","3","25","1","29","3","38","4","25","3","25","0","17","30","265"
"ВИДИН","0","10","0","5","0","4","0","6","0","8","1","10","2","7","2","6","0","4","0","11","0","7","1","8","6","86"
"ВРАЦА","0","6","3","22","1","16","0","16","2","23","3","20","4","31","2","18","1","33","2","27","3","15","2","21","23","248"
"ГАБРОВО","0","1","0","5","0","4","1","2","1","7","2","7","0","6","0","9","1","7","1","13","1","4","0","8","7","73"
"ДОБРИЧ","2","8","0","1","0","9","0","19","2","14","1","12","0","14","4","28","0","17","1","9","1","11","2","16","13","158"
"КЪРДЖАЛИ","1","11","0","10","0","10","1","16","0","10","0","11","0","13","2","23","0","13","0","9","0","9","0","26","4","161"
"КЮСТЕНДИЛ","0","9","0","2","0","12","0","6","0","6","1","15","2","12","0","19","0","5","0","10","0","8","0","11","3","115"
"ЛОВЕЧ","1","14","0","13","0","15","4","25","3","18","6","23","1","39","3","33","2","33","1","26","7","18","1","23","29","280"
"МОНТАНА","2","15","0","10","0","9","1","19","4","17","1","24","1","14","3","17","0","27","2","26","1","12","0","17","15","207"
"ПАЗАРДЖИК","2","21","2","23","1","20","0","14","3","23","2","19","2","37","0","32","4","19","6","17","3","15","0","18","25","258"
"ПЕРНИК","1","8","2","8","0","4","0","2","2","4","1","10","2","6","1","8","0","3","0","4","45","13","0","2","54","72"
"ПЛЕВЕН","0","22","2","4","1","17","0","8","3","31","2","27","1","21","4","29","0","50","5","23","3","21","2","23","23","276"
"ПЛОВДИВ","3","69","3","43","2","53","1","56","4","77","4","83","5","103","1","122","2","89","2","81","1","71","6","87","34","934"
"РАЗГРАД","0","6","0","10","0","12","0","7","0","11","1","7","1","10","2","21","1","11","1","12","3","23","1","4","10","134"
"РУСЕ","0","35","2","13","2","21","0","27","2","31","4","26","2","44","4","47","2","40","0","34","2","23","3","31","23","372"
"СИЛИСТРА","0","1","0","3","1","8","2","8","1","18","2","9","1","8","0","10","1","13","1","14","0","15","0","23","9","130"
"СЛИВЕН","1","10","1","4","0","16","0","12","1","9","0","13","3","23","1","16","0","16","0","15","3","16","3","19","13","169"
"СМОЛЯН","0","6","0","3","1","5","0","8","0","11","0","5","1","16","0","9","0","7","0","14","0","7","0","10","2","101"
"СОФИЙСКА","2","5","1","10","1","17","0","7","1","21","2","19","5","8","8","16","1","11","3","17","5","8","5","14","34","153"
"СОФИЯ","1","51","2","49","3","53","4","52","7","58","6","65","3","68","0","54","6","70","7","70","6","64","7","87","52","741"
"СТАРА ЗАГОРА","2","22","1","33","3","29","0","28","2","49","2","33","3","56","2","50","4","43","4","43","2","29","2","38","27","453"
"ТЪРГОВИЩЕ","3","7","0","0","0","1","0","1","0","7","0","8","2","10","2","3","1","4","0","6","0","4","0","3","8","54"
"ХАСКОВО","0","19","2","29","0","17","0","17","6","33","1","27","7","32","2","31","2","31","0","36","0","23","1","31","21","326"
"ШУМЕН","0","9","1","12","0","5","2","12","0","18","0","18","4","23","3","26","0","15","3","18","4","12","1","9","18","177"
"ЯМБОЛ","1","3","0","0","0","0","1","6","0","6","1","2","2","5","2","7","1","7","2","6","3","6","1","4","14","52"
"Общо","28","473","24","389","20","449","23","496","56","665","49","634","66","843","58","882","42","780","52","750","100","572","43","676","561","7609"
